Familiarity,Preference
1.8,3.2
1,1.8
2.6,3.6
1,3.2
1,3
1,1.4
1,2.6
1.2,3
1,2.6
2.2,2.4
1.2,2.8
1,2.6
1,2.6
1.2,3.2
2.4,4
1,3.4
1,3.6
1.4,3.4
1,3.4
1,3.8
1,3.6
1,2.8
1,3.6
2.8,4.2
1,2.8
1,3.6
1.6,3.6
1,3
1,3.8
1,3
1.2,2.6
1,2.8
1,3
1.2,3.8
1,3.6
1,3
1.6,3.8
1.8,3.6
1,2.8
1,3.8
1.6,3.4
1.4,4.2
1,2.8
1,3.4
1,2.2
1,2.8
1,2.4
1,1.8
1,3.6
1,1.4
1,3
1,1.8
1,2.6
1,3.2
1.2,3
1,1.6
1.2,3.6
1,1.8
1,3
1.2,3.2
1,3
1,3.6
1,2.4
1,2.6
2.2,3.8
1,3.2
1,3
1,3.2
1,3
1.2,3.2
1,3.4
1,3
1,3.8
1,3.2
1,2.6
1,3.2
1,3.6
1,2.6
1,3.2
1,4.4
1,2.2
1,2.6
1,3
1,3.4
1,3.8
1.2,2.6
1.6,3.8
1.2,2.8
1,3
1,2.2
1.4,3.2
1.8,3.4
1,3
1,3.2
1,2.6
1,3
1,3.2
1,3.2
1,3.6
1.2,2.6
1,3
1,1.8
1.4,2.6
1,3.2
1,3
1,2.6
1.6,3.6
2.2,3.2
1,2.8
1.8,3.2
1.2,3
1.6,3
1,3
1.4,2.4
1.6,4
1,3.6
1.2,2.8
1,3
1,3
2.2,4.4
1,4
1.2,3.2
1,3.6
2.8,3.8
1,2.4
1.2,2.4
1.6,3.2
2.4,4
1,3.6
1.2,3.4
1,2.4
1,4
1,2.8
1,3.8
1,3
1.8,3.6
1.6,4
2,3.4
1,2.8
1.2,2.6
2.4,3.4
1,4
1,2.8
1.8,3.2
1,2
1,1.4
1.4,3.6
1,3
1,3.6
1,2
1,3.333333333
1.666666667,2
2,4.333333333
1.666666667,4
1,3
2,3.333333333
2.333333333,4
1.333333333,4
1.666666667,3
2.75,3.75
1.75,3.5
1,2.75
1,3
2,3
2.5,4
1.75,3.5
1.75,3.75
1.5,3.5
2.333333333,4
1.333333333,3.333333333
2,4
2,3.333333333
1,3.333333333
1.5,4.5
1,3
1,4
1,3
1,2
1,2
1,4
1,3.5
1,1.5
2,3
2,3.5
1,4.5
2.5,4
2,3.5
2.5,3.5
2,3.5
1,1.5
1,2.5
1,4
1,3
3,4
1,3
4,4
1,3
1,3
1,2
1,3
2,3.5
1,2
2.5,3
1.5,4
1,3
1.5,3.5
3.5,4
3,4
1,2
1,3
1,3
1,3
1,4
1,3
1,4
1,3
1,3
1,3
2.5,4.5
3,4.5
2,4
1,3
1.5,3.5
3.333333333,1.666666667
2.666666667,3
3.666666667,3.333333333
3,4.333333333
2,3.666666667
3,4
2.333333333,3.666666667
1.333333333,3
2,3.333333333
3,4
3.333333333,4
2.333333333,4.333333333
3,3.333333333
3.333333333,4.333333333
3.666666667,4.333333333
3,4.333333333
3,4
3.666666667,4.666666667
1.75,3.75
2.25,3
2.25,3.5
2,3.25
2,3
2.5,4
2.25,3.5
2.5,4.75
1.5,2.75
